mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09099931716918945,0.0036144900045731653,0.010060930252075195,0.0006754417887321775,1,2,"(1, 3)","{'classifier__C': 1, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 3)}",0.6635407786302926,0.7029501859223221,0.7805577138910471,0.6427687393951492,0.6999575551782682,0.6979549946034159,0.04707872649899601,1
0.0822263240814209,0.008111213623523008,0.009365367889404296,0.0006626878506887869,1,2,"(1, 2)","{'classifier__C': 1, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6652638363617407,0.7029501859223221,0.7805577138910471,0.6352011132498938,0.6999575551782682,0.6967860809206543,0.048686961447609506,2
0.07608594894409179,0.020368803417790023,0.009728956222534179,0.00046596163565973864,1,2,"(1, 1)","{'classifier__C': 1, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6365751414166073,0.7020067694736025,0.7808503277324282,0.6432153212641017,0.69450340737717,0.691430193452782,0.051867175849088634,3
0.0777925968170166,0.014054772903921047,0.012219095230102539,0.004263743874345612,1,3,"(1, 2)","{'classifier__C': 1, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6515418502202643,0.6703956544079865,0.7962875416782352,0.6072012138188608,0.7033119658119658,0.6857476451874625,0.06340794269831605,4
0.10522317886352539,0.019886078919390295,0.011015558242797851,0.001659319060681427,1,3,"(1, 3)","{'classifier__C': 1, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 3)}",0.6515418502202643,0.6703956544079865,0.7962875416782352,0.6072012138188608,0.7033119658119658,0.6857476451874625,0.06340794269831605,4
0.15072531700134278,0.011256906494521777,0.012604475021362305,0.004990171656628098,10,2,"(1, 1)","{'classifier__C': 10, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6750070608776029,0.6714549385645731,0.7432361133265438,0.6514141080664686,0.6794171220400728,0.6841058685750522,0.031080398083796725,6
0.1622300624847412,0.007762112071931176,0.011702251434326173,0.0013699247939522995,10,2,"(1, 3)","{'classifier__C': 10, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 3)}",0.6778711484593837,0.6521619229040078,0.7504875261266643,0.6566172749378856,0.6641604010025062,0.6802596546860895,0.036180905211709025,7
0.15710759162902832,0.010489743848326568,0.010667181015014649,0.0012072175205257835,10,2,"(1, 2)","{'classifier__C': 10, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6778711484593837,0.6456754221809353,0.7468521710580317,0.6556905083220873,0.6641604010025062,0.6780499302045888,0.03598541884573912,8
0.1752707004547119,0.004818459360703623,0.010229396820068359,0.001007572682605285,50,2,"(1, 2)","{'classifier__C': 50, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6677890011223345,0.6506308506308507,0.7371671149079787,0.6675201866691229,0.6640169581346052,0.6774248222929784,0.030521402726908172,9
0.1940861701965332,0.02309608838719422,0.010991239547729492,0.00042635536902491583,100,2,"(1, 2)","{'classifier__C': 100, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6606702307088629,0.6564941419903252,0.7371671149079787,0.6797724076205088,0.6466172138047138,0.6761442218064778,0.032355436803062354,10
0.2237825870513916,0.008982452318985059,0.012091255187988282,0.0005053915721736869,100,2,"(1, 3)","{'classifier__C': 100, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 3)}",0.6669162532888236,0.6514989180899562,0.7371671149079787,0.6730845138648109,0.6511993797413802,0.6759732359785899,0.031773575997340577,11
0.18137083053588868,0.015366912070838557,0.011139249801635743,0.000944819259672895,50,2,"(1, 3)","{'classifier__C': 50, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 3)}",0.6719753163134343,0.6479097621954765,0.7371671149079787,0.6675201866691229,0.6511993797413802,0.6751543519654785,0.03234216406242722,12
0.11453909873962402,0.0026390526238477575,0.009813833236694335,0.0008216910347687095,10,3,"(1, 2)","{'classifier__C': 10, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6539197028079738,0.648719262295082,0.7692266507418427,0.6154433082393694,0.6777270044363206,0.6730071857041178,0.05205438954904987,13
0.054592227935791014,0.004513019313835513,0.008121013641357422,0.0009004498381059069,1,3,"(1, 1)","{'classifier__C': 1, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6352533135141831,0.666149536737772,0.772737995968486,0.6036338615120674,0.6854467420991025,0.6726442899663222,0.05724571413973929,14
0.12753586769104003,0.008293358542280313,0.010845422744750977,0.0008894029001896599,10,3,"(1, 3)","{'classifier__C': 10, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 3)}",0.6539197028079738,0.6450952244233897,0.7692266507418427,0.6154433082393694,0.6777270044363206,0.6722823781297793,0.05241153496232626,15
0.15024981498718262,0.01158909111030672,0.00839228630065918,0.0006561070226787136,50,2,"(1, 1)","{'classifier__C': 50, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6468661279755406,0.665945165945166,0.7032787183489612,0.6556905083220873,0.6854866418610888,0.6714534324905688,0.02046033287704024,16
0.1792685031890869,0.007043287678937473,0.010569524765014649,0.0009691899862091091,50,3,"(1, 2)","{'classifier__C': 50, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6252002698372544,0.6407786885245902,0.7806754391193111,0.6190219204711958,0.6721050954817188,0.667556282686814,0.05946980904483972,17
0.18336834907531738,0.004751374300265146,0.010857152938842773,0.0007387591233015921,50,3,"(1, 3)","{'classifier__C': 50, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 3)}",0.6252002698372544,0.6211148025101513,0.7911403890824623,0.6231681898348564,0.6721050954817188,0.6665457493492887,0.06513027384537574,18
0.1773859977722168,0.014310186516520867,0.008877182006835937,0.0009080332592100999,100,2,"(1, 1)","{'classifier__C': 100, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6534608347535413,0.6427685375053797,0.6882100701358467,0.6550562101285715,0.6854866418610888,0.6649964588768855,0.018355811090766793,19
0.21949825286865235,0.006078265461963798,0.011194515228271484,0.00024481984368243117,100,3,"(1, 2)","{'classifier__C': 100, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6208797309730022,0.6407786885245902,0.7645608890588811,0.6187548845809268,0.6704360432697669,0.6630820472814334,0.05402852811654082,20
0.20949578285217285,0.024497924856382806,0.009378290176391602,0.0032149743190756086,100,3,"(1, 3)","{'classifier__C': 100, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 3)}",0.6208797309730022,0.6211148025101513,0.7645608890588811,0.6264378895957844,0.6704360432697669,0.6606858710815172,0.055151441887884955,21
0.10991096496582031,0.011090098959262698,0.009210443496704102,0.0006990885427162794,10,3,"(1, 1)","{'classifier__C': 10, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6253589590969372,0.6480306222324103,0.7465000829017564,0.6114002339630082,0.6713988012909174,0.6605377398970059,0.04757300951114544,22
0.19897074699401857,0.010148321836261704,0.009790515899658203,0.0003455629246096762,100,3,"(1, 1)","{'classifier__C': 100, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6267380056519466,0.6315378050045068,0.7288494715686294,0.6290170897516939,0.6695747097986202,0.6571434163550793,0.039159984657379965,23
0.15473628044128418,0.007524861621521017,0.008742952346801757,0.000833341708912838,50,3,"(1, 1)","{'classifier__C': 50, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6177858820527828,0.6429024171042051,0.7252163650668765,0.6056721056721056,0.6558224804325022,0.6494798500656944,0.04181659327614957,24
